FL_DATE,FL_NUM,ORIGIN,DEST,CANCELLED
1/17/2011,6472,ABQ,LAX,0
1/18/2011,6472,ABQ,LAX,0
1/10/2011,6472,ABQ,LAX,0
1/11/2011,6472,ABQ,LAX,1
1/7/2011,6472,ABQ,LAX,0
1/14/2011,6472,ABQ,LAX,0
1/13/2011,6472,ABQ,LAX,0
1/12/2011,6472,ABQ,LAX,0
1/31/2011,6472,ABQ,LAX,0
1/28/2011,6472,ABQ,LAX,0
1/6/2011,6472,ABQ,LAX,0
1/22/2011,6588,ABQ,LAX,0
1/8/2011,6588,ABQ,LAX,0
1/15/2011,6588,ABQ,LAX,0
1/29/2011,6588,ABQ,LAX,0
1/2/2011,6483,ABQ,LAX,0
1/1/2011,6483,ABQ,LAX,0
1/3/2011,6483,ABQ,LAX,0
1/15/2011,945,ABQ,SAN,0
1/22/2011,945,ABQ,SAN,0
1/29/2011,945,ABQ,SAN,0
1/3/2011,1193,ABQ,LAX,0
1/4/2011,1193,ABQ,LAX,0
1/1/2011,1695,ABQ,LAX,0
1/8/2011,1651,ABQ,LAX,0
1/5/2011,647,ABQ,LAX,0
1/6/2011,647,ABQ,LAX,0
1/7/2011,647,ABQ,LAX,0
1/2/2011,22,ABQ,LAX,0
1/5/2011,709,ABQ,OAK,0
1/6/2011,709,ABQ,OAK,0
1/7/2011,709,ABQ,OAK,0
1/9/2011,3092,ABQ,LAX,0
1/10/2011,3092,ABQ,LAX,0
1/11/2011,3092,ABQ,LAX,0
1/12/2011,3092,ABQ,LAX,0
1/13/2011,3092,ABQ,LAX,0
1/14/2011,3092,ABQ,LAX,0
1/16/2011,3092,ABQ,LAX,0
1/17/2011,3092,ABQ,LAX,0
1/18/2011,3092,ABQ,LAX,0
1/19/2011,3092,ABQ,LAX,0
1/20/2011,3092,ABQ,LAX,0
1/21/2011,3092,ABQ,LAX,0
1/23/2011,3092,ABQ,LAX,0
1/24/2011,3092,ABQ,LAX,0
1/25/2011,3092,ABQ,LAX,0
1/26/2011,3092,ABQ,LAX,0
1/27/2011,3092,ABQ,LAX,0
1/28/2011,3092,ABQ,LAX,0
1/30/2011,3092,ABQ,LAX,0
1/31/2011,3092,ABQ,LAX,0
1/2/2011,2157,ABQ,OAK,0
1/15/2011,1208,ABQ,LAX,0
1/22/2011,1208,ABQ,LAX,0
1/29/2011,1208,ABQ,LAX,0
1/3/2011,777,ABQ,OAK,0
1/4/2011,777,ABQ,OAK,0
1/3/2011,1405,ABQ,LAX,0
1/4/2011,1405,ABQ,LAX,0
1/5/2011,1235,ABQ,LAX,0
1/6/2011,1235,ABQ,LAX,0
1/7/2011,1235,ABQ,LAX,0
1/2/2011,695,ABQ,LAX,0
1/15/2011,398,ABQ,SAN,0
1/22/2011,398,ABQ,SAN,0
1/29/2011,398,ABQ,SAN,0
1/8/2011,2905,ABQ,SAN,0
1/1/2011,2473,ABQ,SAN,0
1/5/2011,2118,ABQ,SAN,0
1/6/2011,2118,ABQ,SAN,0
1/7/2011,2118,ABQ,SAN,0
1/15/2011,2920,ABQ,LAX,0
1/22/2011,2920,ABQ,LAX,0
1/29/2011,2920,ABQ,LAX,0
1/1/2011,1374,ABQ,LAX,0
1/1/2011,2040,ABQ,OAK,0
1/8/2011,1374,ABQ,LAX,0
1/8/2011,2040,ABQ,OAK,0
1/9/2011,1219,ABQ,OAK,0
1/10/2011,1219,ABQ,OAK,0
1/11/2011,1219,ABQ,OAK,0
1/12/2011,1219,ABQ,OAK,0
1/13/2011,1219,ABQ,OAK,0
1/14/2011,1219,ABQ,OAK,0
1/16/2011,1219,ABQ,OAK,0
1/17/2011,1219,ABQ,OAK,0
1/18/2011,1219,ABQ,OAK,0
1/19/2011,1219,ABQ,OAK,0
1/20/2011,1219,ABQ,OAK,0
1/21/2011,1219,ABQ,OAK,0
1/23/2011,1219,ABQ,OAK,0
1/24/2011,1219,ABQ,OAK,0
1/25/2011,1219,ABQ,OAK,0
1/26/2011,1219,ABQ,OAK,0
1/27/2011,1219,ABQ,OAK,0
1/28/2011,1219,ABQ,OAK,0
1/30/2011,1219,ABQ,OAK,0
1/31/2011,1219,ABQ,OAK,0
1/2/2011,277,ABQ,SAN,0
1/9/2011,726,ABQ,SAN,0
1/10/2011,726,ABQ,SAN,0
1/11/2011,726,ABQ,SAN,0
1/12/2011,726,ABQ,SAN,0
1/13/2011,726,ABQ,SAN,0
1/14/2011,726,ABQ,SAN,0
1/16/2011,726,ABQ,SAN,0
1/17/2011,726,ABQ,SAN,0
1/18/2011,726,ABQ,SAN,0
1/19/2011,726,ABQ,SAN,0
1/20/2011,726,ABQ,SAN,0
1/21/2011,726,ABQ,SAN,0
1/23/2011,726,ABQ,SAN,0
1/24/2011,726,ABQ,SAN,0
1/25/2011,726,ABQ,SAN,0
1/26/2011,726,ABQ,SAN,0
1/27/2011,726,ABQ,SAN,0
1/28/2011,726,ABQ,SAN,0
1/30/2011,726,ABQ,SAN,0
1/31/2011,726,ABQ,SAN,0
1/23/2011,6474,ABQ,LAX,0
1/16/2011,6474,ABQ,LAX,0
1/9/2011,6474,ABQ,LAX,0
1/30/2011,6474,ABQ,LAX,0
1/5/2011,6474,ABQ,LAX,0
1/6/2011,6474,ABQ,LAX,0
1/4/2011,6474,ABQ,LAX,0
1/24/2011,6474,ABQ,LAX,0
1/21/2011,6474,ABQ,LAX,0
